date,version,platform,source,rating,feedback
2026-09-01,3.2.1,iOS,示例,,导出视频一直卡在 99%，等了十分钟还没完成。
2026-09-02,3.2.1,Android,示例,,完成编辑后无法下载，按钮一直转圈。
2026-09-03,3.2.1,iOS,示例,,export is stuck at 99% every time
2026-09-04,3.2.1,iOS,示例,,新版本导出失败，重试三次还是不行。
2026-09-05,3.2.0,Android,示例,,视频下载速度很慢，希望能看到剩余时间。
2026-09-05,3.2.1,iOS,示例,,付款成功但会员没有开通。
2026-09-06,3.2.1,Android,示例,,已经扣费了，页面还让我再次订阅。
2026-09-07,3.2.0,iOS,示例,,订阅状态更新太慢，不知道支付有没有成功。
2026-09-08,3.2.1,Android,示例,,登录验证码一直收不到。
2026-09-08,3.2.1,iOS,示例,,换手机后登录，之前保存的内容不见了。
2026-09-09,3.2.0,iOS,示例,,验证码延迟了好几分钟才到。
2026-09-10,3.2.1,iOS,示例,,新界面更好看了，操作也顺手。
2026-09-11,3.2.1,Android,示例,,希望可以批量导出多个项目。
2026-09-11,3.2.0,iOS,示例,,请增加深色模式，晚上使用更舒服。
2026-09-12,3.2.1,iOS,示例,,搜索历史记录时经常找不到之前的内容。
2026-09-12,3.2.0,Android,示例,,客服回复很快，问题处理得不错。
